          V                    Derivada numerica          valor de la funcio
  0.43333333333333335       -105.94326286022834        8.5570019723865869     
  0.47848101265822784       -72.844837825048444        3.7986890650604170     
  0.52362869198312234       -29.279837254812382        1.9508019720292005     
  0.56877637130801695       -12.890637479410911        1.1466894235834904     
  0.61392405063291133       -5.7620098651726179       0.78384551025773685     
  0.65907172995780594       -2.4117539802752921       0.62514006650200038     
  0.70421940928270044      -0.77787953686353661       0.56548743606596119     
  0.74936708860759493        2.0870714062532093E-002  0.55461125682861745     
  0.79451476793248943       0.39514790994805937       0.56722336363626624     
  0.83966244725738393       0.54839404522105006       0.59021351312677250     
  0.88481012658227842       0.58592391291738843       0.61670000788144108     
  0.92995780590717292       0.56395466728204369       0.64309878012255872     
  0.97510548523206753       0.51307877455722273       0.66761239664346306     
   1.0202531645569621       0.45007568124056135       0.68942327075681797     
   1.0654008438818565       0.38409739829885725       0.70825125072498096     
   1.1105485232067509       0.32001350143240537       0.72410631710950302     
   1.1556962025316455       0.26026709151103150       0.73714867766847592     
   1.2008438818565401       0.20592546509998591       0.74760928822920203     
   1.2459915611814345       0.15728382493260454       0.75574494428027883     
   1.2911392405063289       0.11421553749286026       0.76181338251807595     
   1.3362869198312235        7.6376146041623572E-002  0.76606003714739801     
   1.3814345991561181        4.3321845949162961E-002  0.76871158449630350     
   1.4265822784810127        1.4577438981352973E-002  0.76997340960913907     
   1.4717299578059071       -1.0325721278532976E-002  0.77002929417029309     
   1.5168776371308017       -3.1829625784885636E-002  0.76904231376266763     
   1.5620253164556961       -5.0340061299980483E-002  0.76715634367864904     
   1.6071729957805907       -6.6223223684502841E-002  0.76449781996670230     
   1.6523206751054851       -7.9805836517482992E-002  0.76117755200401649     
   1.6974683544303797       -9.1377169780399475E-002  0.75729247341098405     
   1.7426160337552741      -0.10119199456014864       0.75292727269344328     
   1.7877637130801687      -0.10947390252965031       0.74815587756679425     
   1.8329113924050631      -0.11641865996199707       0.74304278598310725     
   1.8780590717299577      -0.12219741359132071       0.73764424766857684     
   1.9232067510548523      -0.12695965537452061       0.73200930570914147     
   1.9683544303797467      -0.13083590706930895       0.72618071039714849     
   2.0135021097046413      -0.13394011712808906       0.72019571841411256     
   2.0586497890295359      -0.13637178019920912       0.71408679024469501     
   2.1037974683544300      -0.13821779883937005       0.70788219797073615     
   2.1489451476793247      -0.13955411120645578       0.70160655457219734     
   2.1940928270042193      -0.14044710961114357       0.69528127473869228     
   2.2392405063291134      -0.14095487416436717       0.68892497607269343     
   2.2843881856540085      -0.14112824417756387       0.68255382849992907     
   2.3295358649789026      -0.14101174795064456       0.67618185872239922     
   2.3746835443037972      -0.14064440941709822       0.66982121566632957     
   2.4198312236286919      -0.14006044798022957       0.66348240209278275     
   2.4649789029535860      -0.13928988586498892       0.65717447684829899     
   2.5101265822784811      -0.13835907547166937       0.65090523162979785     
   2.5552742616033752      -0.13729115756935875       0.64468134561358958     
   2.6004219409282703      -0.13610645970797453       0.63850852084403598     
   2.6455696202531644      -0.13482284294838998       0.63239160088478230     
   2.6907172995780586      -0.13345600389558793       0.62633467489670047     
   2.7358649789029537      -0.13201973805432685       0.62034116901467984     
   2.7810126582278478      -0.13052616969240455       0.61441392664384575     
   2.8261603375527420      -0.12898595267791035       0.60855527907909968     
   2.8713080168776370      -0.12740844613859617       0.60276710766523345     
   2.9164556962025312      -0.12580186826033585       0.59705089855400650     
   2.9616033755274263      -0.12417343108533525       0.59140779097590612     
   3.0067510548523204      -0.12252945877913451       0.58583861982465402     
   3.0518987341772146      -0.12087549149924395       0.58034395324920851     
   3.0970464135021096      -0.11921637670937624       0.57492412585872832     
   3.1421940928270038      -0.11755634953508881       0.56957926806873016     
   3.1873417721518988      -0.11589910354335167       0.56430933204979417     
   3.2324894514767930      -0.11424785314499830       0.55911411468220851     
   3.2776371308016872      -0.11260538866088032       0.55399327786963593     
   3.3227848101265822      -0.11097412495636087       0.54894636652120266     
   3.3679324894514764      -0.10935614443129997       0.54397282447340167     
   3.4130801687763714      -0.10775323505104224       0.53907200859013049     
   3.4582278481012656      -0.10616692401632116       0.53424320125035019     
   3.5033755274261598      -0.10459850759393281       0.52948562140769262     
   3.5485232067510548      -0.10304907756438246       0.52479843438437657     
   3.5936708860759490      -0.10151954468546079       0.52018076054256912     
   3.6388185654008431      -0.10001065952134307       0.51563168295951667     
   3.6839662447257382       -9.8523030943632919E-002  0.51115025421802196     
   3.7291139240506324       -9.7057142573330285E-002  0.50673550241091725     
   3.7742616033755274       -9.5613367400017066E-002  0.50238643644682002     
   3.8194092827004216       -9.4191980786178103E-002  0.49810205073448183     
   3.8645569620253157       -9.2793172039584718E-002  0.49388132931424800     
   3.9097046413502108       -9.1417054715019930E-002  0.48972324949741330     
   3.9548523206751049       -9.0063675787614081E-002  0.48562678506743057     
   4.0000000000000000       -8.8733023823388782E-002  0.48159090909090907     
