           1  -23.301327499906034     
           2  -22.893265817686387     
           3  -22.337466781300954     
           4  -21.956631459769085     
           5  -21.668677505435674     
           6  -21.510989583480463     
           7  -21.452265908707655     
           8  -21.441896933571932     
           9  -21.441330640762274     
          10  -21.441325831410403     
          11  -21.441325829285041     


           1  -16.499496088669744     
           2  -15.775725470647883     
           3  -14.730087120426109     
           4  -13.912247596575323     
           5  -13.097483744105158     
           6  -12.351680207366940     
           7  -11.643509996929728     
           8  -10.980309129605427     
           9  -10.357668102899805     
          10  -9.7772490112027626     
          11  -9.2402500912983196     
          12  -8.7499862557121109     
          13  -8.3114308936778514     
          14  -7.9320346642719555     
          15  -7.6219096587123456     
          16  -7.3927026477413245     
          17  -7.2519469044753686     
          18  -7.1905749695586172     
          19  -7.1760098001365265     
          20  -7.1747473636074517     
          21  -7.1747250623076795     
          22  -7.1747250305454759     


           1  -2.5209291173322637     
           2  -2.2356997336092093     
           3  -1.8093285720647743     
           4  -1.4966209626280720     
           5  -1.2065390512499685     
           6 -0.96950608066730826     
           7 -0.77755027928740139     
           8 -0.63667211682406954     
           9 -0.54755167786868308     
          10 -0.50548273921593900     
          11 -0.49378765552165088     
          12 -0.49246820256292279     
