  -7.0000000000000000        7.0090027034350686E-006   7.0091902605771136E-006   7.0071271320146214E-006   7.0073146891566664E-006
  -6.9649999999999999        1.4072125866179875E-005   1.4073630713306617E-005   1.4057082376040298E-005   1.4058586317543786E-005
  -6.9299999999999997        2.1243907764247295E-005   2.1249006981227424E-005   2.1192955557634585E-005   2.1198047509564265E-005
  -6.8949999999999996        2.8579725648294229E-005   2.8591879102169062E-005   2.8458361599276473E-005   2.8470484063131975E-005
  -6.8599999999999994        3.6136223336561654E-005   3.6160127359190061E-005   3.5897707092699095E-005   3.5921515885780340E-005
  -6.8249999999999993        4.3971748586432957E-005   4.4013408516613678E-005   4.3556461708889967E-005   4.3597883162051448E-005
  -6.7899999999999991        5.2146803621592711E-005   5.2213626057743187E-005   5.1481436104470560E-005   5.1547739547124365E-005
  -6.7549999999999990        6.0724512293312199E-005   6.0825418130668898E-005   5.9721068022845474E-005   5.9820954225688225E-005
  -6.7199999999999989        6.9771107482785252E-005   6.9916667048118414E-005   6.8325718338566087E-005   6.8469424730643855E-005
  -6.6849999999999987        7.9356442507678968E-005   7.9559034357148855E-005   7.7347978854089909E-005   7.7547402483675438E-005
  -6.6499999999999986        8.9554530481353469E-005   8.9828525695972723E-005   8.6842993729904794E-005   8.7111833099492997E-005
  -6.6149999999999984        1.0044411578897237E-004   1.0080608988993417E-004   9.6868796512264939E-005   9.7222713588106762E-005
  -6.5799999999999983        1.1210928209263517E-004   1.1257825700845810E-004   1.0748666481806085E-004   1.0794346869543529E-004
  -6.5449999999999982        1.2464010155962716E-004   1.2523782041180527E-004   1.1876149484419955E-004   1.1934134874253356E-004
  -6.5099999999999980        1.3813333032607506E-004   1.3888456816310015E-004   1.3076219798996124E-004   1.3148785145850620E-004
  -6.4749999999999979        1.5269315556517329E-004   1.5362606957008385E-004   1.4356212201586377E-004   1.4445917045258886E-004
  -6.4399999999999977        1.6843199992745738E-004   1.6957852305544402E-004   1.5723949931242918E-004   1.5833667313787763E-004
  -6.4049999999999976        1.8547138956342006E-004   1.8686767203780920E-004   1.7187792501782158E-004   1.7320741110380856E-004
  -6.3699999999999974        2.0394289242950603E-004   2.0562979604136838E-004   1.8756686790562181E-004   1.8916466613789191E-004
  -6.3349999999999973        2.2398913412096812E-004   2.2601278484480795E-004   2.0440221716413193E-004   2.0630853532066059E-004
  -6.2999999999999972        2.4576489907340165E-004   2.4817730413451242E-004   2.2248686840778328E-004   2.2474655886269782E-004
  -6.2649999999999970        2.6943832563360904E-004   2.7229806184790215E-004   2.4193135250078821E-004   2.4459439462049763E-004
  -6.2299999999999969        2.9519220422486022E-004   2.9856518518605333E-004   2.6285451103458957E-004   2.6597654352045663E-004
  -6.1949999999999967        3.2322538862719229E-004   3.2718571914660736E-004   2.8538422258551324E-004   2.8902713043932934E-004
  -6.1599999999999966        3.5375433126626129E-004   3.5838525838528530E-004   3.0965818418905516E-004   3.1389074543699099E-004
  -6.1249999999999964        3.8701475436115116E-004   3.9240972526461218E-004   3.3582475280431794E-004   3.4072335061552009E-004
  -6.0899999999999963        4.2326346982982663E-004   4.2952730809998636E-004   3.6404385190831021E-004   3.6969325828979275E-004
  -6.0549999999999962        4.6278036199866838E-004   4.7003057487505758E-004   3.9448794875735719E-004   4.0098218660154767E-004
  -6.0199999999999960        5.0587054841858730E-004   5.1423877908042689E-004   4.2734310828416446E-004   4.3478639919401947E-004
  -5.9849999999999959        5.5286673546425368E-004   5.6250037584281755E-004   4.6281013006675058E-004   4.7131793609077967E-004
  -5.9499999999999957        6.0413178689557577E-004   6.1519576816798660E-004   5.0110577531235778E-004   5.1080594349365248E-004
  -5.9149999999999956        6.6006152520328666E-004   6.7274030493276265E-004   5.4246409134864793E-004   5.5349811083405497E-004
  -5.8799999999999955        7.2108778735599217E-004   7.3558755424395152E-004   5.8713784170932165E-004   5.9966222408370303E-004
  -5.8449999999999953        7.8768175852810961E-004   8.0423287795001910E-004   6.3540005054538000E-004   6.4958784505852009E-004
  -5.8099999999999952        8.6035760953187827E-004   8.7921733546246830E-004   6.8754567079048145E-004   7.0358812723831342E-004
  -5.7749999999999950        9.3967646601854089E-004   9.6113194763629403E-004   7.4389338626346395E-004   7.6200177947925805E-004
  -5.7399999999999949        1.0262507400718734E-003   1.0506223542931781E-003   8.0478755870767393E-004   8.2519518992176584E-004
  -5.7049999999999947        1.1207488576111496E-003   1.1483939020694132E-003   8.7060033165021772E-004   8.9356472339867767E-004
  -5.6699999999999946        1.2239004180718256E-003   1.2552172026572368E-003   9.4173390391997201E-004   9.6753920673412787E-004
  -5.6349999999999945        1.3365018261641546E-003   1.3719342052098595E-003   1.0186229866969410E-003   1.0475826174986349E-003
  -5.5999999999999943        1.4594224391481659E-003   1.4994648307260256E-003   1.1017374590835734E-003   1.1341969930582687E-003
  -5.5649999999999942        1.5936112770358988E-003   1.6388142206511247E-003   1.1915852383977072E-003   1.2279255781330234E-003
  -5.5299999999999940        1.7401043474689220E-003   1.7910806567633434E-003   1.2887153826941862E-003   1.3293562305703214E-003
  -5.4949999999999939        1.9000326417542598E-003   1.9574642146929031E-003   1.3937214444357708E-003   1.4391251066531196E-003
  -5.4599999999999937        2.0746308637111612E-003   2.1392762191914170E-003   1.5072450957622605E-003   1.5579206490083733E-003
  -5.4249999999999936        2.2652469586242870E-003   2.3379495755719206E-003   1.6299800474589420E-003   1.6864879020714156E-003
  -5.3899999999999935        2.4733525157590204E-003   2.5550500586274750E-003   1.7626762855115158E-003   1.8256331821068146E-003
