           4   35.555555555555557     
           6   120.00000000000000     
           8   284.44444444444446     
          10   555.55555555555554     
          12   960.00000000000000     
          14   1524.4444444444446     
          16   2275.5555555555557     
          18   3240.0000000000000     
          20   4444.4444444444443     
          22   5915.5555555555557     
          24   7680.0000000000000     
          26   9764.4444444444453     
          28   12195.555555555557     
          30   15000.000000000000     
          32   18204.444444444445     
          34   21835.555555555555     
          36   25920.000000000000     
          38   30484.444444444445     
          40   35555.555555555555     
          42   41160.000000000000     
          44   47324.444444444445     
          46   54075.555555555555     
          48   61440.000000000000     
          50   69444.444444444453     
          52   78115.555555555562     
          54   87480.000000000000     
          56   97564.444444444453     
          58   108395.55555555556     
          60   120000.00000000000     
          62   132404.44444444444     
          64   145635.55555555556     
          66   159720.00000000000     
          68   174684.44444444444     
          70   190555.55555555556     
          72   207360.00000000000     
          74   225124.44444444447     
          76   243875.55555555556     
          78   263640.00000000000     
          80   284444.44444444444     
          82   306315.55555555556     
          84   329280.00000000000     
          86   353364.44444444444     
          88   378595.55555555556     
          90   405000.00000000000     
          92   432604.44444444444     
          94   461435.55555555556     
          96   491520.00000000000     
          98   522884.44444444450     
         100   555555.55555555562     
         102   589560.00000000000     
         104   624924.44444444450     
         106   661675.55555555562     
         108   699840.00000000000     
         110   739444.44444444450     
         112   780515.55555555562     
         114   823080.00000000000     
         116   867164.44444444450     
         118   912795.55555555562     
         120   960000.00000000000     
         122   1008804.4444444445     
         124   1059235.5555555555     
         126   1111320.0000000000     
         128   1165084.4444444445     
         130   1220555.5555555555     
         132   1277760.0000000000     
         134   1336724.4444444445     
         136   1397475.5555555555     
         138   1460040.0000000000     
         140   1524444.4444444445     
         142   1590715.5555555557     
         144   1658880.0000000000     
         146   1728964.4444444445     
         148   1800995.5555555557     
         150   1875000.0000000000     
         152   1951004.4444444445     
         154   2029035.5555555557     
         156   2109120.0000000000     
         158   2191284.4444444445     
         160   2275555.5555555555     
         162   2361960.0000000000     
         164   2450524.4444444445     
         166   2541275.5555555555     
         168   2634240.0000000000     
         170   2729444.4444444445     
         172   2826915.5555555555     
         174   2926680.0000000000     
         176   3028764.4444444445     
         178   3133195.5555555555     
         180   3240000.0000000000     
         182   3349204.4444444445     
         184   3460835.5555555555     
         186   3574920.0000000000     
         188   3691484.4444444445     
         190   3810555.5555555555     
         192   3932160.0000000000     
         194   4056324.4444444445     
         196   4183075.5555555560     
         198   4312440.0000000000     
         200   4444444.4444444450     
         202   4579115.5555555560     
         204   4716480.0000000000     
         206   4856564.4444444450     
         208   4999395.5555555560     
         210   5145000.0000000000     
