        1500   5.3707562125136346E-002   4.5829687157457081E-003
        3000   5.1655863836231303E-002   3.1095250820008845E-003
        4500   5.2281239632746827E-002   2.5597062360735740E-003
        6000   5.1080273952312391E-002   2.1628251039874599E-003
        7500   4.9881916533541439E-002   1.8997278764683609E-003
        9000   5.0963119827979055E-002   1.7697705202495255E-003
       10500   5.0195454724070214E-002   1.6184331949463124E-003
       12000   4.9677031153275229E-002   1.5002947945531237E-003
       13500   4.9258941587879974E-002   1.4052226442994547E-003
       15000   4.9727088724742900E-002   1.3384154967369495E-003
       16500   5.0051967789373229E-002   1.2823224301709299E-003
       18000   4.9796811475110732E-002   1.2267787078663083E-003
       19500   4.9812619849132378E-002   1.1840195921306986E-003
       21000   4.9765600407420084E-002   1.1366149891670198E-003
       22500   4.9635291090445371E-002   1.1001775614639170E-003
       24000   4.9529479355274610E-002   1.0658269930918659E-003
       25500   4.9471550053413686E-002   1.0301839033229187E-003
       27000   4.9164911703610668E-002   9.9837669841054623E-004
       28500   4.9042321096524316E-002   9.7198709619416071E-004
       30000   4.8869185817912837E-002   9.4229168344786378E-004
       31500   4.8783013354484643E-002   9.1920330739336364E-004
       33000   4.8806543834927614E-002   8.9882093435759188E-004
       34500   4.8964843336980597E-002   8.8214674766843183E-004
       36000   4.9078160018624854E-002   8.6332849133195994E-004
       37500   4.9226009900837704E-002   8.4877669883451118E-004
       39000   4.9346848849114146E-002   8.3359206944694209E-004
       40500   4.9499008553480987E-002   8.2138415090903883E-004
       42000   4.9639859424798052E-002   8.0874020949507619E-004
       43500   4.9883316577747763E-002   7.9789743504932284E-004
       45000   4.9716579497972875E-002   7.8182229405784627E-004
       46500   4.9663396965101823E-002   7.6888319886206748E-004
       48000   4.9682812583744095E-002   7.5729822850612277E-004
       49500   4.9696377109763608E-002   7.4480021048532491E-004
       51000   4.9645988644350311E-002   7.3402261540868883E-004
       52500   4.9659635949250755E-002   7.2319256984095057E-004
       54000   4.9537141996676907E-002   7.1216563440790128E-004
       55500   4.9568109265015675E-002   7.0262816580366903E-004
       57000   4.9483831129335874E-002   6.9177289310799576E-004
       58500   4.9387506461249057E-002   6.8174407135408147E-004
       60000   4.9258598743474581E-002   6.7121512030164383E-004
